CC_PROPERTY_ID,PUBLIC_LISTING_COMMENTS
497486985,"nestled on a shy half acre and steps to private sandy beach,this sunny home features an open layout perfect for entertaining,inside or outside. the large kitchen island is a gathering spot for family and friends; open to the living room with fpc,and dining room. french doors open onto a large brick patio for warm-weather entertaining. the second floor features two family bedrooms with walk-in closets. the primary suite has a luxurious bathroom and french doors leading to a large deck. the private yard is a gardener's paradise with lush landscaping and a brick patio for entertaining."
188397026,"custom contemporary 3br,3 full bath and finished basement,hardwood floors,florida room 17x16.5 w/skylights,beautiful jacuzzi bath ceramic floors plus more!!!,additional information: appearance:mint,separate hotwater heater:n"
185231447,beautiful panoramic views and spectacular sunsets. this home is in move in condition. tons of storage. beautiful hardwood floors. spacious open 1st floor with so much light. formal living room with pocket doors. spacious 2nd floor bedrooms and two full baths. ready for you. enjoy your private deck.
496726746,"great opportunity to own a spacious 2-family home situated on a desirable corner lot on a quiet,low-traffic road. both units were beautifully remodeled in 2023,featuring new carpeting,professionally painted interiors,durable vinyl flooring,updated appliances,modern fixtures,and faucets throughout. a brand-new roof was also installed in 2023,ensuring peace of mind for years to come. this turnkey investment property is perfect for adding a reliable income generator to your portfolio. don’t miss out—seize this money-maker opportunity today!"
184243316,"move in ready! beautiful brick cape cod 4 bedrooms 2 bathrooms in valley stream. conveniently located near the cross island parkway,southern state parkway,belt parkway,4 minutes away from lirr,3 minutes walking to n1 bus stop,and 10 minutes to jfk. mint condition with stainless steel kitchen appliances,and hardwood floors,also includes dishwasher,washer,and dryer. recently renovated bathrooms,full finished basement with separate entrance. the kitchen has a beautiful bay window with lots of natural light. the 1st floor has an 18,000 btu split ac unit with both cooling and heating functions. there is also a wood-burning fireplace to keep you warm during the winter! in-ground sprinklers at the front of the house,a detached garage,with a private driveway,well-manicured lawn,and a beautiful back yard great for entertaining this beautiful home sits on a tree-lined street. this home is in immaculate condition and well-maintained!"
772937256,"welcome to the junction,located in the bustling neighborhood of flatbush in brooklyn,this new development building is a true gem. as you approach the building,you are greeted by a sleek and modern facade that sets the tone for what's inside. step inside and you'll find a lobby that is both stylish and functional,with plenty of seating areas for guests and residents alike. the building features a variety of different apartment layouts,from studios to one and flex two-bedroom units,all designed with modern living in mind. each apartment is outfitted with high-end finishes and state-of-the-art appliances,making it the perfect place to call home. each apartment also has a washer/dryer in unit,dishwasher,central air and its own private outdoor space!! and when it comes to amenities,this building has it all. from a fitness center,entertainment room to a rooftop deck and lounge area,there's something for everyone. but perhaps the best part about this building is its location. situated just a few blocks from major transportation hubs,including several subway lines,getting around the city has never been easier. and with a plethora of restaurants,bars,and shops right at your doorstep,you'll never run out of things to do. this new development building in flatbush brooklyn is the perfect place to live for those looking for modern amenities and easy access to all that the city has to offer."
461907234,"duplex master suite with full bath,stainless steel appliances,designer cabinets,bamboo floors,3 intercoms,quartz countertops,indoor garage,large gated yard,pvt driveway"
839350803,"active agricutural land,currently used for pasture,located in the town of pamelia,east side of white rd."
184033556,"fully updated home. central a/c. new floor, new kitchen, new bathroom, new window, huge backyard, walking distance to main st."
462423789,"an astonishing property just arrived at a remarkable residential block between beautiful dyker heights and bay ridge. we proudly present this marvelous semi-detached 2 family house; 2 stories above ground plus a full finished basement with a separate entrance. this gorgeous property is 22x52 building on 23x100 lot, r5b zoning. the home is a perfect model of modern convenience wrapped in the elegance of brick. the extensive floor-plan of this huge home has produced an incredible interior layout. level one features 2 bedrooms, living room, dining room kitchen, and a full bathroom. level two features 3 bedrooms, a living room, dining room, kitchen, and a full bathroom; one of the bedrooms has a great sized terrace. full finished basement with a separate entrance featuring a living room, family room, and 3/4 bathroom. private front entrance for each of the 3 levels. both, the basement and level one have access to the back yard. mechanically, this property is in excellent condition. there's an abundance of outdoor space including a relatively huge fully fenced backyard, a front yard, a large terrace, a porch, and a wonderful patio garden in the front. positioned off fort hamilton pkwy. surrounded by the classic serenity of brick homes and the undeniable energy of a culturally diverse community with splendid restaurants, supermarkets, shopping stores, and destination hangouts! this property is ideally located up the block to b16, b64 buses around the corner, n, q, w trains on the fort hamilton pkwy station. minutes to local favorites of sunset park/ brooklyn army terminal with rw & sb ferries, overseeing an unforgettable picturesque nightlight of manhattan. best of all, a desirable school district with outstanding schools: jhs 259, ps 105, jhs 201, ps 69, is 187, and so many more reputable private schools including st. ephrem school, along with brooklyn public library. lots of potential! can be delivered vacant. don't miss out on this wonderful solid brick 2 family home!"
505198803,"come see this house sitting on the corner of a nice quiet street; 4 bdrms on second level w/ 1 bth,spacious living room w/ high ceilings,dining rm and kitchen; playroom and 1/2 bth on the lower level; house is close to schools and shopping; short sale; taxes do not incl. star savings of $1931 additional information: parkingfeatures:1 car attached,"
184097786,"don't miss this charming bungalow conveniently located in oceanside. whether you're looking to downsize or searching for your first home,this could be the perfect house for you. the house features include: a living room with a fireplace,kitchen,1 bedroom,2nd bedroom(currently being used as a dining room) & a full bath on the first floor. there's also a finished attic & a partially finished basement with a second fireplace original to the house. the roof & the skylights were replaced in september 2023,newer ss appliances,new 50 gallon gas hot water heater,gas fired heat with new baseboard throughout most of the house. 150 amp electric service. fully fenced in backyard. new front & side door recently installed for more energy efficiency & a 1 car attached garage. located close to shopping,schools,banks,restaurants & public transportation. no flood insurance required."
184730048,"beautiful cape home on mid-block featuring 3 bedrooms 2 bath,nice size kitchen with quartz countertop and stainless steel appliances,gas cooking,anderson windows,hardwood floor on first floor,updated boiler,architectural roof,2 split units,family room,selling as-is. 1 car garage attached. this house is a must and is sure to go fast and is close to shopping mall and public transportation."
187972649,"welcome to this charming ranch-style home,located in a peaceful neighborhood. this well-maintained property features three bedrooms and one bathroom and a finished basement offering space for your family and guests. the heart of this home is the eat-in kitchen,where you'll find plenty of counter space to prepare delicious meals. one of the standout features of this home is the deck,accessible from the kitchen. this outdoor oasis provides a perfect retreat for relaxation or entertaining. picture yourself hosting barbecues or simply unwinding in the privacy of your own backyard. whether you have a green thumb or envision a space for kids and/or pets to play,this expansive yard offers endless possibilities and room to grow. this home also offers convenience with its single-level layout,it provides ease of access and a comfortable living experience. this home is conveniently located near amenities such as schools,parks,and shopping centers. note: there is a lot 25 x 73 next to this property that will be part of the sale. don't miss the opportunity to make this beautiful ranch-style home your own. schedule a visit today and experience the comfort and charm it has to offer."
184438574,"cute cape in great location, lots of potential"
496985589,"pride of ownership is evident throughout this meticulously maintained and beautifully updated home! renovated with taste and elegance this home truly meets the needs of today's lifestyle. this pristine home offers a spectacular new kitchen with quartz counters, center island, stainless appliances and sliding door that leads to trex deck with retractable awning and park-like backyard. attention to detail in all other updates including bathrooms, flooring on main level, lighting, driveway, unilock walkway, vinyl siding, and front door just to name a few (feature sheet attached for additional details). this inviting home with open flow and spacious rooms allows for easy entertaining and of course offers room for at home fitness, home office and remote learning. conveniently located with easy access to parkway, bus, shops, golf, parks and recreation, schools, restaurants and so much more!"
348942524,coop. board approval. application pending.
464394849,"this spacious 2 bedroom,1.5 bathroom barn apartment is situated on a quaint cul-de-sac and overlooks northport harbor and britannia yachting center. on the first floor is a large living room filled with natural light,kitchen with new appliances (2024) and quartz countertops,closet,pantry and half bath with new vanity (2024). upstairs are two spacious bedrooms each with ample closet space,a full bathroom with new vanity and linen closet. 2024 updates include new kitchen appliances,quartz countertops,lg smart washer and dryer,new vanities and mirrors in bathrooms,freshly painted and refinished hardwood floors throughout. ductless air conditioning units cool the entire apartment. private parking,entrance and deck with water views. utilities not included."
464343918,great investment or owner occupied property. sold as is. location is close to shopping and busline. off street parking in rear. new listing photos to follow.
497555628,"updated beach side home in private beach community- 3 br,1 bath,living room w/fireplace,kitchen,wood floors lovely grounds,out door shower,deck,furnished,,additional information: appearance:excellent,lease term:12 months,memorial-labor"
504261861,an eastbrooke townhouse at it's finest! private entrance set back from the parking lot gives way to an open concept living space and kitchen. enjoy your evening meal on the patio or the formal dining area. this home features a beautiful finished basement as well as a large master bedroom. feel at ease with exterior maintenance and many amenities included in the hoa. delayed negotiations until november 14th at 12pm
659084316,"large interior development lot. spacious with over 4 full acres. level,open building site. existing drainage basin on lot which adds ample space for hiking,biking or cross country skiing on your own lot in this existing,well manicured subdivision. enjoy all the benefits of an existing development along with large acreage! well priced!"
839429070,"this rare and desirable astor model,along with its great location,provides the best that meadowbrook pointe has to offer. with its well designed and comfortable floor plan,this astor unit features a living room with a slider to the balcony,a primary suite with a large walk-in-closet,2nd bedroom suite,eat-in-kitchen,den/dining room and laundry room. unit has been freshly painted along with new carpet in bedrooms. assigned indoor garage parking along with additional storage bin and locker. enjoy the indoor and outdoor pools,fitness center,restaurant,tennis courts,bocce,movie theatre and more....,additional information: min age:48"
667193790,"welcome to the saxon house of white plains. one of white plains' premier pre war buildings,filled with old world charm. the beautiful complex entry and courtyard is of a time passed. this beautifully maintained,top floor and light filled unit features hardwood floors through-out,generous sized living room with french door entry,updated eat-in-kitchen with breakfast nook and gorgeous tin ceiling. there is a glass walled hallway,leading to the master bedroom,guest bedroom and updated hall bath. there are only four units per floor for quiet and private living. great location to all that downtown white plains offers,including restaurants,shopping,entertainment and transportation. maintenance does not reflect star reduction of $1585/year,which is applied to maintenance charge twice per year. municipal parking is conveniently located across street."
464418930,
497572092,"welcome to 486 18th! this 3/2 double was converted to a single family and is now currently rented at $625 a month. the home boasts a large yard and parking in the rear. whether it's buying your first home, air bnb or renting this place fits all needs."
346226960,"totally renovated raised ranch,4br,3bath,open floor plan,bright & spacious,wood floors,granite counter tops,cherry wood cabinets,ceramic bath,brick front,stone porch,everything new from roof to floor,walking distance to and from the beach. too much to list,a must see.,additional information: appearance:diamond!!!,separate hotwater heater:yes"
342079161,"bring your horses or board them next door! this 4 bedroom 3 1/2 bath colonial is custom built with many upgrades. top of the line cabinets and appliances in the kitchen,with double drawer dishwasher,drawer microwave,6 burner gas cooktop with pot filler faucet. custom tile mosaic backsplash and floor with granite countertops and bar make this kitchen a cook's dream. formal dining room is large enough for a crowd,2 story living room with stone fireplace and beautiful hardwood floors. master wing on 1st floor is huge with his and hers walk in closets,large master bath with jetted tub. 3 bedrooms and 2 full baths upstairs & finished bonus room over garage. oversized 3 car garage,private pond"
186008198,"if you are looking for charm, land to roam, and still have convenience to shopping with easy access to highways... then you are home! this charmer in the central square school district has been gone over with a fine-tooth comb with a new remodeled main bath, awesome mud room updates including new roof, windows and floors along with a new poured cement entry, many new windows, enhanced electrical and plumbing and many more improvements - too many to mention here! natural light abounds through the home with an airy living room, versatile dining room, lovely half bath & cute kitchen (and don't forget that mudroom) on the main floor. a master with walk-in closet and 2 more bedrooms with generous closets are found upstairs plus that bright updated main bath and bonus storage closet on this level. the impressive 4-car garage offers tons of space to park, store and work. it also offers a 500 sq ft loft upstairs that could be easily finished for an office, art studio or even an efficiency apartment. 2.31 acres of flat useable land and the owners are leaving, if you wish, the large no-dig fence for a small dog. serene country living with breathtaking views can be yours!"
102507026,"charming 3 bdrm cape a must see!updates include oak kitchen,carpets & bath has 4th bedroom in basement,loft/computer room (other) on 2nd floor,charming quiet neighborhood,covered front porch,aboveground pool (can be removed) above average home! don't wait!!"
103262981,"nice starter or retirement home. currently set up with handicapped access with ramp & shower in bathroom. house needs updating but appears to be in good solid condition. large back yard mostly fenced in. basement could be finished off for more living space. basement access through garage. 2 good size bedrooms, one has sliders out to deck on back of house. house needs updating sold as is...price reflects current condition/layout & repairs/updates needed ***update***damage to front porch was from a car hitting it...sold as is"
497996232,"**best & final by monday 7/12 @ 3:00 pm**use showing assist for confirmed appointment. tenants in the home please allow at least 24 hour notice. taxes: town $5067,school $9730,village $1740. driveway has easement,please see survey attached. rents are currently leased under market value,lease expires end of this month. booties and masks a must per tenants request. booties will be provided."
481538034,"welcome to the villages! this highly desirable princeton model boasts 3700 square feet of living space with 5 bedrooms, and 3.55 bathrooms. open floor concept with soaring ceilings. guest suite with full bathroom on the first floor, formal living room, den with fireplace, entertainer's kitchen & dining room! master suite with huge bathroom with walk in closets. beautiful landscaped yard with private pool & hot tub. sunquam, west hollow, hse"
464323896,"4 bedrooms,2 full baths,in the heart of richmond hill,newly renovated,central air system."
183424745,"proudly offered: this exquisite executive rental is located on a treeline street,close to shopping businesses and expressways. a separate entrance and 2nd kitchen and an oversized room is perfect for a home office,or additional private quarters. beautifully landscaped together with the large backyard patio is ideal for entertaining or relaxing. all new flooring,kitchen,painting,ceiling fans and central air. the only thing you need to do is move in and enjoy!"
187046888,"welcome to a staten island charming 3-bedroom, 1-bathroom home offering both comfort and potential. with an additional buildable space of 1,300 square feet, this property provides an exciting opportunity to expand. zoning as r3x and with a current floor area ratio (far) of 0.2, with the possibility to increase to 0.5, giving you ample room to customize and grow your living space. conveniently located, this property offers easy access to public transportation. the s44, s94, and s59 bus lines are just minutes away, providing easy connections to the staten island railway and express buses to manhattan. whether you're commuting to work or exploring the neighborhood, this property offers the perfect blend of convenience and potential. don’t miss out on this unique opportunity to make it your own."
183340283,"stunning west irondequoit home is waiting for you!! wow! this one is gorgeous, and has truly been cared for!! a tree-lined & sidewalk street takes you to an impressive brick exterior with leaded glass accent windows!! upon entering you're welcomed in by amazing hardwoods, crown molding, arched openings, huge living room flooded with natural light, and stunning fireplace with stone & shiplap!! the kitchen is... huge!! stainless steel appliances, *tons* of countertop space, pantry, eat-in & breakfast bar. there is so much light in this home!! the lower den is perfect for a home office, play area, extra hang-out or additional eating area! heading upstairs, the hardwoods continue!!! enjoy 3  spacious bedrooms with large closets, and a barn door to the stylish bathroom!! there is also a finished area in the basement!! there is also another bathroom, and ample storage!! enjoy outdoor living and entertaining in a fully fenced yard, with a deck *and* covered patio w/ lights! the garage is a 2-car tandem garage; looking like a single from the front, but is 2 cars deep!! the driveway is double wide! **open house sat. 2/27 from 12-2pm** all offers due monday 3/1 @ 2pm!! dont miss out!!"
187686647,"this charming older home in the village puts you in close proximity to all amenities such as a grocery store, library, post office, churches, etc. the older detached garage offers great storage space on the 2nd flr. full front porch and great back yard. taxes reflect star program. plant in back yard excluded."
190077743,"back on the market - colonial 3br 1 1/2 bath eik full bsmt w/ ise + ose-fenced w/pvc-william floyd schools - great for first time home buyer - asking $349,000 - true taxes under 10,000k!"
184357286,"welcome to this massive 3400sqft home located in beautiful mandalay bay! three levels of living space! consists of 7br and 3.5ba. living room w/ skylight vaulted ceilings. custom granite center island professional chef's kitchen w/ gas cooking. multiple rooms w/ tray/recessed ceilings. den w/ dry bar. wainscoting. beautiful hardwood floors. central ac and forced hot air heat. master bedroom w/ large walk in closest and gas fireplace. close distance to wantagh park,mandalay elementary school,restaurants,lirr,and more! taxes disclosed do not include the star rebate. tax grievance has been filed!,additional information: interior features:lr/dr,separate hotwater heater:y"
187222118,"pvrm-homeowner will entertain offers from $169,900-$194,876. lg 4 br home plus fin bsmnt w/gas fpl,waterproof w/10yr guarantee,roof is 7 yrs old,oak flrs thruout,exlg lot for semi,well kept,move right in. level 1: b: full fin w/laundry to entrance to rear yd & gas fireplace l1: ent foyer,garage,1/2 bath,eik w/dr to yd & deck,fdr/lr l2: lg mbr plus 3 full size brs,full bath l3: attic-can stand up at peak,plenty of storage"
483678441,"priced to sell in north riverdale,updated 1 bedroom,1 bath. inviting foyer,renovated windowed eat-in kitchen w/ stainless steel appliances & wooden cabinets. renovated windowed bathroom w/ new tiles and vanities. bright & sunny large bedroom w/2 window exposures & abundant closet space,gleaming hardwood floors. facing quite side of the building. express buses to manhattan & metro north 22 minutes to grand central & manhattan downtown,easy access to major highways,close to transportation.,additional information: interior features:efficiency kitchen"
185337554,"huge income property presently fully rented on leases. tenants pay all utilities,6 car offstreet parking,easy access to su being on university hill. 4 yr old roof,33 newer window,2 newer furnaces. solid house despite bad housekeepers. rare find."
344805294,"are you sitting down? ornate 4 bedroom over sized colonial on wooded lot, dead end street. includes huge open first floor plan with corian counters, reccessed led zone lighting, morning room with wall of windows view of woods, bamboo floor in great room, whole house generator. mostly finished walk out 8 foot ceiling basement rec room with built in sound sys wiring, central vac. keyless crypto lock entry, hot tub and more!! what are you waiting for? book the showing now!!!"
497980554,completely renovated brand new home for rent. 3 bedroom 2 bathroom. finished basement and yard
498169941,"beautiful new construction: three floor post modern with classic modern and new england architectural elements sure to attract those looking for value and elegance. soaring ceilings, true great rooms, open to blue stone patios, ipe decks and pool on lush landscaped acres accessed by new private drive."
658068570,"a truly remarkable multi-family home located in the charming and popular village of catskill offers outstanding hardwood flooring, original molding, a striking mahogany mantle in the living room and more. incredible catskill mountain views. one block east from catskill's main street where you'll find popular restaurants, shops, galleries and museums all within walking distance. a wonderful area to call home! the three units offer discrete entrances private from one another. the rental income can cover of mtg. and taxes."
248880002,"this 4 bedroom, 2.5 bathroom home is situated on an extra large double lot. the main level features a living room and eat-in kitchen with an island. sliding glass doors from the kitchen lead to a spacious outdoor deck and above ground pool, looking out over the large, private back yard. the lower level features a bedroom and half bathroom along with a second living room. upstairs there are two more bedrooms and a full bathroom, plus a master bedroom and bathroom suite. there is plenty of storage space throughout the home in the partial basement, and many closets. with a 2 car attached garage and maintenance free vinyl siding this home is ready for you to move right in and enjoy!"
184286750,"beautifully renovated tudor w/ open floor plan. 1st fl inviting foyer, new eik that opens to spacious family room & steps out to backyard patio, fdr, living rm w/ fp, sunroom & half bath. 2nd fl, master suite with full bath, 3 add'l bedrooms & full bath. 3rd fl, walk up to finished attic, bedroom & storage. full finished bsmnt w/rec rm, tv room, laundry room. backyard oasis, stone patio, professionally landscaped w/2 car garage. walk to town or train. low taxes."
183923447,"beautifully expanded lakeville ranch offers lots of space,new granite cherry kit,master suite and full finished basement w/separate finished room ready to make your own! lr dr with sliders to awesome yard,main level den area,upstairs mstr suite w/den/loft!quiet,mid block,premier barnum woods elementary!curb appeal galore,ready to go!so much room!taxes dnt rflct star $1280,additional information: appearance:mint,separate hotwater heater:n"
185750177,"beautiful renovated home now on the market for rent. this 4 bedroom raised ranch offers close to 2,000 sqft of comfortable living space. beautiful new kitchen in white complete with stainless steel lg appliances,update tiled floors,quartz countertops and pretty backsplash. modern colored new hardwood flooring throughout,new windows,new patio,new bathrooms,and much more! 4 bedrooms including the master bedroom plus 3 full baths to accommodate all your family’s needs! oversized deck overlooking the outdoor fenced backyard. sprawling front lawn with new driveway leading to the garage that has a new garage door. renovations include,updated plumbing,new oil tank,premium vinyl flooring on lower level and freshly painted walls. nice flat lot in desirable location! ready to move in!"
102635891,"acres and acres of country living just 20 min outside of the city. 17+acres of mostly wooded land with a huge private pond are just a start to what's inside. this large, almost 3000sqft home features 5+ bedrooms, 2.5 baths, family room w/wood burning fireplace and gleaming hardwood floors. the country kitchen has 2 back to back sinks on its island and is adjacent to the breakfast nook with french doors leading to an exterior rose garden. this home also features a second floor laundry and bonus room that could be used as an office or be made into a master bedroom. make your appointment today."
462284190,"rare find! this gorgeous corner duplex loft is configured as a 2 bed 2 bath home with floor to ceiling windows and 17 ft high ceilings. flooded with light throughout the day,the unit features hardwood floors,nest controlled central a/c,dishwasher,and washer/dryer. generously sized bedrooms that can each fit a queen or king sized beds,are found on each floor alongside full baths. in addition to the living room and dining area,there is an overlooking loft space on the second floor that could serve well as a home office or an additional living area. a shared roof deck is a few flights up. conveniently located 2 blocks to the lorimer/metropolitan l and g trains,this williamsburg neighborhood has everything you could ask for. lella alimentari,a great cafe is on the block,the best fish market in ny is around the corner,and many bakeries,coffee shops,restaurants,and bars are just a stones throw away. ready for move in!"
464462754,
187405064,"garnerville,ny! this meticulously maintained 4-bedroom,2.5-bathroom expanded high ranch offers an abundance of updates and features for luxurious and convenient living. bright and inviting living spaces with decorative molding,crown molding,and ceiling fans throughout. custom-designed wood cabinets in the kitchen and bathrooms,paired with stunning granite countertops. spacious kitchen with newer stainless-steel appliances,a bay window,and a large custom-built wood pantry. expansive family room off the kitchen,perfect for entertaining. comfortable downstairs family room featuring a franklin stove,all-wood paneling,and ample heating with extra baseboard units installed. step outside to a country club style backyard with a stunning in-ground swimming pool,stamped concrete patios and outdoor lighting for nighttime enjoyment. professionally landscaped yard with sod,an automatic in-ground sprinkler system,and a completely fenced backyard for privacy. durable trex deck,armotech brick steps,and pavers along the side path. this home is a true retreat,blending style,comfort,and modern conveniences. welcome home!"
478225755,"prime buildable lot located in east marion at the corner of stars road and willow drive with private beach rights at the end of stars road where you will find quintessential north fork views of the long island sound. 1625 stars road is being sold along with 1745 stars road as one lot. total foot print is almost 1 acre at approximately 239 x 185 feet. property is located close to old school house park with tennis courts and other recreational activities and truman beach exclusively for the use of e marion and orient residents only. town of greenport is only 3 miles away. as per southold dob only 1 home can be built at the site due to 2 lots being merged,however lots can potentially be separated with zoning board of appeals approval and have 2 homes built."
184753808,1 family house on 6000 sq ft lot.
602034087,"unique property with easy access from mountain farm road. perfect flat area for a home,with beautiful stream and seasonal waterfall. partial lake views in the winter. all within 40 miles of new york city equal opportunity housing"
188054663,"must see this mint 3 br ranch w/sunroom,hw floors,new paint,appliances,electric,new bath,full finished basement w/ent room +++!!!,additional information: appearance:excellent"
667166685,"home living without maintenance worry! moving from the city or downsizing you will love this sunny,elegant coop overlooking the pelham country club golf course. step into a spacious foyer w/closet,then into a welcoming living room w/balcony,and a formal dining room-all perfect for entertaining! proceed to the l-shaped kitchen lined with cabinets,pantry,new stainless appliances and sub-zero fridge. the huge back hallway with cedar closet opens to 3 bedrooms,each with its own walk-in closet: master bedroom with jack and jill bathroom,second bedroom with washer-dryer hookup in closet,third bedroom with unique architectural style and its own bathroom. amenities include hardwood floors,recessed lighting,crown moldings and closeness to schools,shops and transportation,use of patio &grills for personal pleasure. star exemption of $193.54 per month. additional information: amenities:storage,heatingfuel:oil above ground,parkingfeatures:1 car attached,"
498313743,"gracious queen anne victorian with rentable carriage house on lovely side street in quaint cambridge village. main 4-br house boasts wide plank floors, bulls eye molding, 8.5' ceilings, fabulous victorian woodwork, kitchen with pantry, updated with granite countertops and stool counter, porcelain farm sink. bathrooms w/new toilets, sinks, fixtures & tile. carriage house with fantastic charm for guest cottage, studio, rental or in-law. back up wood burning furnace. realtor owned."
464418093,"welcome to the moorings! a private gated community nestled along the great south bay! center hall colonial features 4 brs, 3 baths and a 2 car garage on shy acre property backing the preserve."
828951129,"large two bedroom,2.5 bath home featuring custom accents floor-to-ceiling windows and hardwood floors throughout. kitchen has granite counter tops for seating,top of the line stainless steel appliances and a stacked bosch washer/dryer. master bathroom is lined in floor to ceiling marble with a deep soaking tub,a stand up shower stall and a double sink vanity."
103006190,"nicely maintained 3-4br 2.5ba bungalow in a convenient city of albany locaton. updated kit w/newer appliances, new h/w tank, new roof. newer carpets w/hardwood under.partially finished bsmt, wood burning fp,c/a, 1 car garage, shed w/elec. close to sunya, shopping, tech buildings, downtown. vacant easy to show. call css to show. open house 8/8 12-2:30"
394106931,"this very spacious 4 bedroom,3 bath home is extremely convenient to public and private schools,shopping and transportation. across the street from a farmers market it boasts a living room,formal dining room,large eat-in-kitchen with a door to the deck and two bathrooms,including the master bath. lower level boasts a family room with sliders to a concrete patio and yard as well as a laundry room and half bath. there are hardwood floors,a two car garage and an enormous,flat rear yard. the circular driveway makes driving in and pulling out a breeze."
101743262,fenced yard; above ground pool nice neighborhood;new gas range
186413459,"newly renovated single-family home in desirable neighborhood in whitestone. large living room with fireplace,original hardwood floors throughout. updated full bath. back deck overlooks level back yard. plenty of storage in basement. detached garage and multi car driveway. walk to schools,shops,and restaurants."
533529171,
497543286,",additional information: appearance:good,interior features:separate thermostat"
184374350,"amazing opportunity to move into this mint tudor offering 4/5 bedrooms. updates include granite eik,jacuzzi bath,brick patio,basement was done in the past three years. this is not just a man cave its an extended living space with all the bells and whistles. this is a must-see and wont last ."
480891465,"unique hi-ranch with tons of character!! many updates throughout,hardwood floors,wide open floor plan,custom brickwork inside & out. don't miss out call!"
498398829,"++no saturday showings,short sale notification ++ call listing office for all appointments,24 hour notice,buyer to pay 1% to short sale negotiator if needed!! agent must verify all times before showing,must email or call"
